directory,ID,styles
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/11371.jpg,11371,[0.18994027 0.15307221 0.26087475 0.079467   0.3166457 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13633.jpg,13633,[0.30392045 0.04103022 0.31901407 0.16077586 0.17525932]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17729.jpg,17729,[0.30557993 0.04286816 0.2926553  0.1573438  0.2015528 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10154.jpg,10154,[0.2395388  0.12466681 0.3425772  0.09487328 0.1983439 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17550.jpg,17550,[0.27551368 0.05337235 0.2225718  0.14268984 0.30585226]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/12437.jpg,12437,[0.19684839 0.19108137 0.19499338 0.05959266 0.35748422]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17669.jpg,17669,[0.18991348 0.17929472 0.19495538 0.06502897 0.37080738]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13273.jpg,13273,[0.30496344 0.04161255 0.3103734  0.16000922 0.18304148]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13359.jpg,13359,[0.25270894 0.05551286 0.19303231 0.13436966 0.36437625]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17632.jpg,17632,[0.23675814 0.1269027  0.33856    0.09406703 0.20371209]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17805.jpg,17805,[0.25383845 0.05521363 0.19381757 0.13453287 0.36259753]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/12613.jpg,12613,[0.22889857 0.06407778 0.17204645 0.128104   0.40687323]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17845.jpg,17845,[0.30502322 0.04164447 0.3098612  0.15995465 0.18351643]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17436.jpg,17436,[0.30110502 0.04570123 0.25066677 0.14892782 0.25359914]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13689.jpg,13689,[0.22324061 0.0728776  0.16245499 0.12846914 0.41295767]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13993.jpg,13993,[0.30439225 0.04129181 0.31522915 0.16046546 0.17862135]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10961.jpg,10961,[0.30373204 0.04092664 0.3204811  0.16088924 0.17397094]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13914.jpg,13914,[0.30401105 0.04107889 0.3183125  0.16072027 0.17587727]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17431.jpg,17431,[0.2409165  0.13201419 0.33870485 0.09141323 0.1969512 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17544.jpg,17544,[0.3035261  0.04089689 0.32138887 0.16097774 0.17321049]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10164.jpg,10164,[0.19714351 0.1569855  0.272288   0.08015428 0.29342875]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10317.jpg,10317,[0.26384062 0.05306328 0.2007357  0.13647252 0.34588796]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13278.jpg,13278,[0.16738957 0.10835172 0.23183855 0.11095473 0.3814654 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17476.jpg,17476,[0.30287287 0.04502072 0.26122186 0.15120661 0.23967795]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/12483.jpg,12483,[0.20490076 0.14931642 0.2892529  0.08415055 0.2723793 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17614.jpg,17614,[0.30540836 0.04210481 0.30381402 0.15915322 0.18951955]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13354.jpg,13354,[0.25961804 0.05397815 0.19800273 0.13569379 0.3527073 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10733.jpg,10733,[0.19494513 0.18433785 0.19816549 0.061092   0.36145952]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/15001.jpg,15001,[0.22202522 0.07536891 0.16086195 0.12899092 0.41275296]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/14959.jpg,14959,[0.1930519  0.18284474 0.20600471 0.0627949  0.35530373]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17536.jpg,17536,[0.17201646 0.11326226 0.27589312 0.10325398 0.33557424]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/15198.jpg,15198,[0.24129294 0.13476954 0.33739138 0.0903723  0.19617377]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13953.jpg,13953,[0.19266531 0.18274455 0.20677911 0.06295912 0.35485187]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/12453.jpg,12453,[0.19476295 0.19195884 0.1978984  0.06220723 0.3531725 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13498.jpg,13498,[0.30362704 0.04086738 0.321301   0.16094802 0.1732565 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17718.jpg,17718,[0.22176363 0.07656906 0.15979238 0.12929946 0.41257545]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17560.jpg,17560,[0.24125129 0.13398422 0.33780628 0.09065199 0.19630623]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13915.jpg,13915,[0.22489347 0.06844556 0.16743326 0.12785359 0.41137418]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10687.jpg,10687,[0.28946495 0.04850632 0.22331661 0.14255881 0.29615334]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/15195.jpg,15195,[0.30116692 0.04572584 0.25289363 0.14949131 0.2507223 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/13874.jpg,13874,[0.2985594  0.04398825 0.31257182 0.16145296 0.18342759]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17578.jpg,17578,[0.26698756 0.06674665 0.3387786  0.16079105 0.16669615]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/12935.jpg,12935,[0.23594646 0.05989242 0.18043567 0.13036788 0.3933576 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/14953.jpg,14953,[0.27204245 0.05151814 0.20681033 0.13817397 0.33145514]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/12232.jpg,12232,[0.23323083 0.06104166 0.17774151 0.12944289 0.39854312]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10929.jpg,10929,[0.3039362  0.04103716 0.31890526 0.16076703 0.17535433]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17835.jpg,17835,[0.17963268 0.11144578 0.2910338  0.10633748 0.31155026]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17678.jpg,17678,[0.22709931 0.06609936 0.16915794 0.12779373 0.40984967]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/14487.jpg,14487,[0.27413943 0.05113176 0.20852385 0.13858566 0.32761934]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/10381.jpg,10381,[0.18521205 0.15924178 0.21515724 0.06923611 0.37115282]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17760.jpg,17760,[0.30361795 0.04087066 0.32130387 0.16095051 0.17325693]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17567.jpg,17567,[0.21673657 0.14705995 0.3056678  0.08616512 0.2443706 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/15228.jpg,15228,[0.2176414  0.09028396 0.15280178 0.13334976 0.40592307]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17407.jpg,17407,[0.24101044 0.13036571 0.339843   0.09205523 0.19672567]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17651.jpg,17651,[0.30385497 0.04100059 0.3194997  0.16082144 0.17482333]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/17411.jpg,17411,[0.22942013 0.0636263  0.17272167 0.12820564 0.4060263 ]
/content/drive/MyDrive/Data-Science/Art-to-fashion/Data/HipsterWars/images/14889.jpg,14889,[0.23875315 0.10596043 0.22853982 0.14056267 0.28618395]
